rid,hollis
W00CHZ0103340,14253173
W00CHZ0103341,14253174
W00CHZ0103342,14253804
W00CHZ0103343,14253805
W00CHZ0103344,14253806
W00EGS1016286,14253834
W00EGS1016703,14253856
W00EGS1016899,14253901
W00EGS1016928,14253905
W00EGS1016947,14253914
W00EGS1016963,14253926
W00EGS1016969,14253928
W00EGS1016973,14253931
W00EGS1016994,14253938
W00EGS1017040,14253948
W00EGS1017059,14253954
W00EGS1017063,14253955
W00EGS1017070,14253958
W00EGS1017077,14253959
W00EGS1017082,14253960
W00EGS1017093,14253961
W00EGS1017102,14253962
W00EGS1017117,14253963
W00EGS1017144,14253970
W00EGS1017151,14253973
W00EGS1017157,14253974
W00EGS1017219,14253987
W00EGS1017241,14253988
W00EGS1017362,14254010
W00EGS1017393,14254011
W00EGS1017396,14254012
W00EGS1017401,14254013
W00EGS1017421,14254015
W00EGS1017426,14254017
W00EGS1017462,14254018
W00EGS1017463,14254019
W00EGS1017511,14254020
W00EGS1017555,14254021
W00EGS1017628,14254022
W00EGS1017863,14254024
W00EGS1018126,14254025
W00JW501203,14254028
W00KG01,14254029
W00KG010085,14254032
W00KG01048,14254039
W00KG01062,14254041
W00KG01063,14254042
W00KG013,14254043
W00KG01502,14254044
W00KG01503,14254045
W00KG01509,14254051
W00KG01510,14254052
W00KG01511,14254053
W00KG01512,14254054
W00KG01513,14254055
W00KG01514,14254056
W00KG01515,14254057
W00KG01516,14254058
W00KG01517,14254059
W00KG01518,14254060
W00KG01519,14254061
W00KG01520,14254062
W00KG01521,14254063
W00KG01522,14254064
W00KG016,14254082
W00KG01660,14254141
W00KG01661,14254142
W00KG01662,14254143
W00KG01663,14254144
W00KG01664,14254145
W00KG01665,14254146
W00KG01666,14254147
W00KG02329,14254150
W00KG02330,14254151
W00KG02331,14254152
W00KG02353,14254155
W00KG02358,14254156
W00KG02390,14254157
W00KG02530,14254158
W00KG02531,14254159
W00KG02741,14254348
W00KG02759,14254354
W00KG03592,14254363
W00KG03608,14254375
W00KG03612,14254379
W00KG03658,14254384
W00KG03673,14254392
W00KG03680,14254395
W00KG03789,14254410
W00KG03791,14254411
W00KG03795,14254415
W00KG03807,14254420
W00KG03888,14254439
W00KG03940,14254445
W00KG03976,14254447
W00KG03996,14254455
W00KG04012,14254464
W00KG04068,14254471
W00KG04094,14254472
W00KG05,14254473
W00KG05881,14254484
W00KG06,14254485
W00KG0622,14254489
W00KG0638,14254490
W00KG07600,14254494
W00KG07606,14254495
W00KG07610,14254496
W00KG07619,14254498
W00KG08,14254508
W00KG08362,14254509
W00KG08364,14254510
W00KG08448,14254516
W00KG08457,14254517
W00KG09,14254518
W00KG09213,14254520
W00KG09216,14254522
W00KG09507,14254532
W00KG09667,14254534
W00KG09670,14254535
W00KG09671,14254536
W00KG09673,14254537
W00KG09683,14254539
W00KG09688,14254541
W00KG09693,14254543
W00KG09694,14254544
W00KG09730,14254550
W00KG09731,14254551
W00KG09747,14254559
W00KG09748,14254560
W00KG09753,14254563
W00KG09761,14254567
W00KG09769,14254573
W00KG09977,14254585
W00KG09980,14254587
W00PD1011352,14254589
W00PD1011353,14254590
W00PD1011354,14254591
W01CT0060,14254592
W10130,14254595
W10200,14254602
W10206,14254603
W1022,14254604
W10232,14254605
W10234,14254606
W10247,14254608
W10305,14254612
W10319,14254618
W10347,14254623
W10426,14254625
W10736,14254630
W10754,14254632
W10954,14254635
W10979,14254636
W10982,14254637
W11128,14254640
W11184,14254641
W11208,14254642
W11249,14254644
W11577,14254649
W1174,14254650
W11818,14254651
W11825,14254652
W12034,14254659
W12094,14254660
W12165,14254661
W1229,14254664
W12422,14254667
W12434,14254668
W127,14254675
W12827,14254676
W12829,14254678
W13528,14254683
W13532,14254684
W13536,14254685
W13649,14254686
W13779,14254689
W13780,14254690
W13868,14254694
W13994,14254698
W14023,14254700
W14110,14254704
W14130,14254705
W14133,14254707
W14371,14254712
W14376,14254714
W14592,14254719
W147,14254722
W15098,14254726
W15232,14254729
W15274,14254732
W15588,14254740
W15590,14254741
W15649,14254742
W15651,14254743
W15925,14254750
W16515,14254765
W16912,14254769
W16936,14254770
W17168,14254780
W17276,14254784
W17319,14254786
W17320,14254787
W17635,14254790
W17713,14254793
W17722,14254794
W17789,14254796
W17836,14254797
W18,14254798
W18047,14254799
W18115,14254801
W18122,14254803
W18123,14254804
W18133,14254809
W18134,14254810
W18167,14254813
W18557,14254816
W18588,14254819
W18609,14254821
W18978,14254828
W19220,14254831
W19222,14254832
W19223,14254833
W19229,14254837
W1923,14254838
W19231,14254840
W19255,14254841
W19277,14254842
W19306,14254843
W1934,14254844
W19341,14254845
W19354,14254846
W19357,14254847
W19508,14254856
W19567,14254859
W19578,14254860
W19605,14254862
W19617,14254867
W19657,14254872
W19680,14254879
W19710,14254887
W19762,14254890
W19792,14254891
W19804,14254894
W19822,14254900
W19829,14254903
W19830,14254904
W19831,14254905
W19834,14254907
W19836,14254909
W19837,14254910
W1986,14254916
W19871,14254917
W19884,14254919
W19965,14254930
W19974,14254934
W19975,14254935
W19986,14254936
W19988,14254938
W19997,14254943
W19998,14254944
W19999,14254945
W1CZ1041,14254963
W1CZ1084,14255003
W1CZ1092,14255011
W1CZ1099,14255018
W1CZ1101,14255020
W1CZ1132,14255051
W1CZ1146,14255065
W1CZ1151,14255070
W1CZ1242,14255160
W1CZ1413,14255233
W1CZ1479,14255235
W1CZ1871,14255260
W1CZ1878,14255267
W1CZ1980,14255278
W1CZ1987,14255282
W1CZ2273,14255318
W1CZ2398,14255340
W1CZ2401,14255341
W1CZ2407,14255343
W1CZ2408,14255344
W1CZ2413,14255345
W1CZ2481,14255353
W1CZ2730,14255379
W1CZ2744,14255383
W1CZ2856,14255391
W1CZ2857,14255392
W1CZ3868,14255394
W1CZ688,14255402
W1CZ690,14255404
W1CZ855,14255406
W1CZ856,14255407
W1CZ884,14255415
W1CZ895,14255425
W1CZ996,14255441
W1GS10,14255442
W1GS103597,14255443
W1GS11,14255445
W1GS135531,14255446
W1GS135873,14255447
W1GS136667,14255448
W1GS139873,14255449
W1GS2,14255451
W1GS4,14255453
W1GS44028,14255454
W1GS44054,14255455
W1GS44055,14255456
W1GS44056,14255457
W1GS44554,14255459
W1GS45274,14255461
W1GS49280,14255465
W1GS49535,14255466
W1GS49554,14255467
W1GS49575,14255468
W1GS49915,14255469
W1GS49973,14255470
W1GS5,14255471
W1GS50020,14255472
W1GS53494,14255475
W1GS53994,14255476
W1GS55180,14255481
W1GS56008,14255482
W1GS56154,14255483
W1GS57624,14255489
W1GS58283,14255491
W1GS58442,14255494
W1GS60403,14255508
W1GS61404,14255515
W1GS61414,14255518
W1GS61415,14255519
W1GS66030,14255521
W1GS66241,14255522
W1GS66286,14255526
W1GS66291,14255528
W1GS66294,14255529
W1GS66332,14255534
W1GS66367,14255538
W1GS66375,14255539
W1GS75024,14255540
W1GS75055,14255543
W1GS8,14255544
W1GS88816,14255549
W1GS9,14255550
W1GS91829,14255551
W1GS91831,14255552
W1GS94774,14255554
W1JM1,14255556
W1KG10019,14255564
W1KG10061,14255569
W1KG1011,14255580
W1KG10112,14255582
W1KG10137,14255586
W1KG10184,14255598
W1KG10193,14255601
W1KG10237,14255603
W1KG10241,14255604
W1KG10279,14255608
W1KG10282,14255611
W1KG10294,14255619
W1KG10375,14255620
W1KG10493,14255634
W1KG10580,14255641
W1KG1059,14255644
W1KG10597,14255648
W1KG10663,14255656
W1KG10687,14255657
W1KG10720,14255658
W1KG10746,14255662
W1KG10772,14255672
W1KG10781,14255679
W1KG10787,14255685
W1KG10853,14255690
W1KG10854,14255691
W1KG10871,14255693
W1KG1132,14255701
W1KG11665,14255702
W1KG11666,14255703
W1KG11703,14255708
W1KG11797,14255731
W1KG11820,14255737
W1KG11858,14255740
W1KG11901,14255752
W1KG11906,14255755
W1KG11920,14255758
W1KG11923,14255759
W1KG11939,14255763
W1KG11946,14255765
W1KG11947,14255766
W1KG11948,14255767
W1KG11959,14255771
W1KG12048,14255778
W1KG12061,14255781
W1KG12075,14255784
W1KG12113,14255796
W1KG12310,14255861
W1KG1249,14255884
W1KG12515,14255887
W1KG1252,14255889
W1KG12536,14255898
W1KG1254,14255902
W1KG12589,14255912
W1KG12625,14255914
W1KG12655,14255923
W1KG12980,14255989
W1KG12986,14255992
W1KG13001,14255994
W1KG13126,14256023
W1KG1320,14256026
W1KG1321,14256027
W1KG1338,14256028
W1KG13617,14256042
W1KG13693,14256048
W1KG13759,14256054
W1KG13760,14256055
W1KG13981,14256088
W1KG14,14256095
W1KG1400,14256096
W1KG14303,14256115
W1KG1442,14256118
W1KG1445,14256119
W1KG14507,14256140
W1KG14557,14256172
W1KG14784,14256232
W1KG14961,14256251
W1KG14964,14256252
W1KG15057,14256262
W1KG15058,14256263
W1KG15059,14256264
W1KG15060,14256265
W1KG15061,14256266
W1KG15384,14256280
W1KG15471,14256290
W1KG15817,14256306
W1KG15827,14256309
W1KG1597,14256323
W1KG1607,14256328
W1KG1609,14256330
W1KG1617,14256346
W1KG1620,14256347
W1KG1624,14256349
W1KG1629,14256355
W1KG1645,14256356
W1KG1656,14256364
W1KG1680,14256418
W1KG1685,14256427
W1KG17191,14256460
W1KG17192,14256461
W1KG17579,14256511
W1KG1789,14256543
W1KG1804,14256552
W1KG18134,14256561
W1KG18135,14256562
W1KG18137,14256564
W1KG1880,14256589
W1KG1891,14256591
W1KG1892,14256592
W1KG1934,14256593
W1KG1958,14256595
W1KG2118,14256597
W1KG2144,14256601
W1KG2733,14256613
W1KG2757,14256616
W1KG2767,14256619
W1KG2778,14256620
W1KG2815,14256628
W1KG3170,14256649
W1KG3372,14256656
W1KG3374,14256657
W1KG3381,14256658
W1KG3386,14256660
W1KG3514,14256687
W1KG3537,14256691
W1KG3566,14256701
W1KG3654,14256710
W1KG3655,14256711
W1KG3724,14256739
W1KG3815,14256742
W1KG3830,14256752
W1KG3939,14256772
W1KG397,14256781
W1KG3983,14256790
W1KG3998,14256799
W1KG406,14256810
W1KG4185,14256811
W1KG4191,14256816
W1KG4202,14256824
W1KG4205,14256826
W1KG4210,14256830
W1KG4211,14256831
W1KG4219,14256836
W1KG422,14256837
W1KG4232,14256849
W1KG4244,14256859
W1KG4247,14256862
W1KG4251,14256866
W1KG4257,14256871
W1KG4277,14256883
W1KG4280,14256885
W1KG4282,14256887
W1KG4284,14256888
W1KG4285,14256889
W1KG4286,14256890
W1KG4312,14256910
W1KG4325,14256914
W1KG4326,14256915
W1KG4334,14256920
W1KG4335,14256921
W1KG4336,14256922
W1KG4338,14256924
W1KG4461,14256942
W1KG4475,14256956
W1KG4528,14256971
W1KG4532,14256975
W1KG4616,14256988
W1KG483,14257004
W1KG486,14257015
W1KG4871,14257025
W1KG4876,14257026
W1KG4884,14257027
W1KG492,14257031
W1KG4948,14257046
W1KG4949,14257047
W1KG5005,14257052
W1KG506,14257056
W1KG5097,14257059
W1KG5098,14257060
W1KG5099,14257061
W1KG513,14257064
W1KG5187,14257085
W1KG5327,14257114
W1KG5341,14257117
W1KG5344,14257120
W1KG5395,14257128
W1KG5420,14257135
W1KG5560,14257157
W1KG5611,14257160
W1KG5666,14257177
W1KG5698,14257180
W1KG5705,14257182
W1KG5727,14257184
W1KG5737,14257187
W1KG5762,14257190
W1KG5787,14257196
W1KG5793,14257197
W1KG5808,14257199
W1KG5814,14257203
W1KG588,14257224
W1KG589,14257225
W1KG5900,14257226
W1KG5905,14257228
W1KG5988,14257245
W1KG6013,14257258
W1KG6068,14257279
W1KG6188,14257329
W1KG6199,14257334
W1KG6257,14257346
W1KG6259,14257347
W1KG655,14257365
W1KG659,14257367
W1KG825,14257377
W1KG8320,14257387
W1KG8321,14257388
W1KG852,14257401
W1KG8585,14257419
W1KG870,14257425
W1KG879,14257442
W1KG8897,14257463
W1KG8899,14257465
W1KG9029,14257483
W1KG9039,14257493
W1KG9245,14257514
W1KG9258,14257527
W1KG9259,14257528
W1KG9260,14257529
W1KG9262,14257531
W1KG9276,14257545
W1KG9281,14257550
W1KG9408,14257584
W1KG9409,14257585
W1KG9560,14257590
W1KG9580,14257594
W1KG9588,14257595
W1KG9593,14257596
W1KG9609,14257604
W1KG9724,14257614
W1KG9748,14257619
W1KG9800,14257632
W1KG9848,14257641
W1KG9858,14257644
W1KG9862,14257645
W1KG987,14257646
W1KG988,14257647
W1PD100944,14257655
W1PD104832,14257657
W1PD107129,14257707
W1PD107142,14257708
W1PD107937,14257710
W1PD108254,14257712
W1PD127348,14257713
W1PD127393,14257714
W1PD127771,14257715
W1PD166109,14257728
W1PD1725,14257729
W1PD179846,14257732
W1PD180878,14257733
W1PD181149,14257741
W1PD181150,14257742
W1PD181151,14257743
W1PD181152,14257744
W1PD181153,14257745
W1PD181154,14257746
W1PD181155,14257747
W1PD181156,14257748
W1PD181157,14257749
W1PD181158,14257750
W1PD181159,14257751
W1PD181165,14257752
W1PD181166,14257753
W1PD2,14257791
W1PD2074,14257792
W1PD26799,14257793
W1PD289,14257794
W1PD3,14257795
W1PD36435,14257796
W1PD4,14257797
W1PD44712,14257799
W1PD45088,14257800
W1PD45090,14257801
W1PD45150,14257808
W1PD45495,14257814
W1PD45496,14257815
W1PD5,14257816
W1PD5282,14257818
W1PD5283,14257819
W1PD5284,14257820
W1PD5297,14257821
W1PD5298,14257822
W1PD5299,14257823
W1PD5300,14257824
W1PD5302,14257825
W1PD5314,14257826
W1PD53260,14257831
W1PD53265,14257833
W1PD53272,14257837
W1PD53276,14257841
W1PD6,14257848
W1PD76231,14257849
W1PD76588,14257851
W1PD76592,14257852
W1PD76619,14257853
W1PD76620,14257854
W1PD77570,14257856
W1PD8,14257857
W1PD82085,14257858
W1PD82465,14257859
W1PD83960,14257860
W1PD83963,14257861
W1PD83964,14257862
W1PD83972,14257864
W1PD83973,14257865
W1PD83974,14257866
W1PD83975,14257867
W1PD83977,14257869
W1PD83981,14257870
W1PD86468,14257872
W1PD86474,14257873
W1PD87837,14257874
W1PD88780,14257878
W1PD89051,14257898
W1PD89084,14257899
W1PD89990,14257903
W1PD9,14257908
W1PD90129,14257947
W1PD90230,14257949
W1PD90704,14257951
W1PD94,14257955
W1PD95675,14257956
W1PD95698,14257958
W1PD95746,14257959
W1PD95810,14257969
W1PD95844,14257975
W1PD96085,14257976
W1PD96185,14257978
W1PD96348,14257981
W1PD96438,14257982
W1PD96945,14257986
W1PD96997,14257987
W1PD97485,14257989
W20004,14257995
W20023,14258005
W20028,14258009
W20030,14258011
W20031,14258012
W20077,14258026
W20087,14258034
W20097,14258041
W20115,14258055
W20132,14258062
W20138,14258066
W20140,14258067
W20146,14258071
W20152,14258072
W20169,14258074
W20171,14258076
W20197,14258085
W20204,14258087
W20205,14258088
W20209,14258090
W20212,14258091
W20214,14258092
W20224,14258095
W20233,14258099
W20234,14258100
W20240,14258102
W20242,14258104
W20250,14258106
W20304,14258108
W20319,14258109
W20325,14258110
W20338,14258113
W20382,14258115
W20384,14258116
W20406,14258131
W20408,14258133
W20423,14258141
W20432,14258149
W20434,14258151
W20441,14258153
W20443,14258155
W20444,14258156
W20446,14258157
W20448,14258158
W20452,14258160
W20453,14258161
W20454,14258162
W2046,14258167
W20464,14258171
W20479,14258177
W20499,14258182
W20503,14258183
W20510,14258185
W20515,14258187
W20520,14258190
W20548,14258201
W20557,14258204
W20559,14258206
W20571,14258213
W20578,14258217
W20749,14258220
W20751,14258221
W20821,14258231
W20823,14258232
W20826,14258233
W20827,14258234
W20828,14258235
W20831,14258237
W20836,14258241
W20837,14258242
W20838,14258243
W20839,14258244
W20840,14258245
W20844,14258249
W20846,14258250
W20855,14258257
W20865,14258263
W20866,14258264
W20869,14258267
W20873,14258268
W20876,14258269
W20877,14258270
W20905,14258272
W21018,14258282
W21019,14258283
W21023,14258286
W21027,14258290
